"nid","title","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_pre_o_7","field_material_7","field_observa_o","field_fonte"
"12843","Fornecimento de Papel à Seção de Pós Graduação","2017","12","Serviço de Alunos Pós-Graduação e Comissão de Pós-Graduação","Acadêmica","Regina Sant'Ana","5000","1","A4","03/31/2017","556 Folhas de Papel Gráfico 120grs (66 x 96cm)","R$ 133.44","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Serviço de Alunos Pós-Graduação e Comissão de Pós-Graduação"
"12841","XII Semana de Filologia (Folder)","2017","11","Departamento de Letras Clássicas e Vernáculas - DLCV","Acadêmica","Srta. Helena (Editoração e Distribuição)","100","2","A4","03/31/2017","19 Folhas do Papel Color Plus 180gr / 66 x 96cm (Marfim - Creme)","R$ 22.42","03 Chapas Positivas de Alumínio","R$11.76","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão,blanqueta, restauradoras etc.</p>
","Departamento de Letras Clássicas e Vernáculas - DLCV"
"12840","XII Semana de Filologia (Blocos)","2017","10","Departamento de Letras Clássicas e Vernáculas - DLCV","Acadêmica","Srta. Helena (Serviços de Editoração e Publicação)","150","20","A5","03/30/2017","282 Folhas de Papel Sulfite 75grs (66 x 96cm)","R$ 39.48","03 Chapas Positivas de Alumínio","R$11.76","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Departamento de Letras Clássicas e Vernáculas - DLCV"
"12836","Fornecimento de Papel - DLCV","2017","9","DLCV - Departamento de Letras Clássicas e Vernáculas","Acadêmica","Professora Sra. Marli Quadros","1000","1","A4","03/03/2017","125 Folhas de Papel Alto Alvura - 180 grs (66 x 96cm)","R$ 51.25","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa os gastos com tinta, solvente, toner, cola, algodão, blanqueta, restauradoras, etc.</p>
","DLCV - Departamento de Letras Clássicas e Vernáculas"
"12835","USP DEBATE - Pastas , Blocos e Flyer","2017","8","Departamento de Ciencias Politcas","Acadêmica","Márcia Gomes","50","25","A3 e A5","02/23/2017","200 Folhas de Papel Sulfite (66 x 96cm) - 120grs","R$ 48.00","50 folhas de cartão supremo (66 x 96cm) -  300grs","R$45.50","350 folhas de Papel Kraft (66 x 96cm)","R$80.50","Impressão 04 cores","R$300.00","Fotolitos","R$100.00","15 chapas positivas Heidelberg","R$170.25","","Plastificação brilhante","<p>Observação: 8.000 Flyer 10x15 (colorido), 50 blocos de 50 folhas cada A5 (colorido) e 50 pastas 32x45 (colorido).</p>
<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","VERBA DO PROJETO USP DEBATE"
"12833","O Ensino Médio e a formação do conhecimento - Apostila de Química","2017","7","Centro Acadêmico de Filosofia - CAF","Acadêmica","Vinícius Paiola","50","41","A4","02/13/2017","193 Folhas de Papel Sulfite - 75grs (66 x 96cm)","R$ 27.02","25 Chapas Positivas de Alumínio","R$98.00","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Diretoria da FFLCH"
"12831","Fornecimento de Papel - 2000 folhas","2017","6","Serviço de Assistência ao Ensino de Graduação","Acadêmica","Ilza Cavalcante da Silva","2000","1","A4","02/09/2017","223 Folhas de Papel Super Bond - Amarelo 75gr (66 x 96cm)","R$ 40.14","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Serviço de Assistência ao Ensino de Graduação - SVASENG"
"12829","Folha de Prova 2017","2017","5","Almoxarifado","Administrativa","José Aparecido Irineu","8000","2","A3","02/07/2017","2000 Folhas de Papel Sulfite 75grs (66 x 96cm)","R$ 280.00","03 Chapas positivas de Alumínio","R$34.05","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Seção de Almoxarifado"
"12827","Timbre de envelopes (24 x 34cm)","2017","4","Setor de Almoxarifado","Administrativa","José Aparecido Irineu","14800","1","Envelope (24 x 34cm)","02/02/2017","148 Pacotes de 100 envelopes cada / tipo saco (24x 34cm)","R$ 1786.36","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Observação: Será pago o valor de R$ 535,91 referente aos 30% dos custos de serviços em virtude do material ter sido fornecido pelo setor de Almoxarifado. Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Setor de Almoxarifado (Valor: R$ 535,91)"
"12824","Fornecimento de Papel (Kraft)","2017","3","Serviço de Editoração e Distribuição (Editora Humanitas)","Administrativa","Srta. Maria Helena Gonçalves Rodrigues","50","1","66 x 96cm","01/31/2017","50 Folhas de Papel Kraft - 80grs (66 x 96cm)","R$ 11.50","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Serviço de Editoração e Distribuição (Editora Humanitas)"
"12823","Fornecimento de Papel Carta (Vice-Diretoria)","2017","2","Vice-Diretoria FFLCH","Administrativa","Srta. Dayane Esteves Nogueira","2000","1","Carta (216 x 279mm)","01/31/2017","223 Folhas de Papel Sulfite (75grs - 66x96cm)","R$ 31.22","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Vice-Diretoria (FFLCH)"
"12813","Relatórios de Passagem de Serviço","2017","1","Seção de Vigilância e Zeladoria da FLCH","Administrativa","Francisco Teles Alves","2000","6","A4","01/13/2017","1668 Folhas de Papel Sulfite (66 x 96cm) - 75gr","R$ 233.52","06 Chapas positivas de Alumínio","R$23.52","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Observação: 20 Blocos (todos numerados) para a Casa de Cultura Japonesa (10301 a 12300); 20 Blocos para o prédio da Administração (13601 a 15600); 20 Blocos para o prédio de Filosofia e Ciências Sociais (13601 a 15600); 20 Blocos para o prédio da História e Geografia (13701 a 15700); 20 Blocos para o prédio da Letras (13601 a 15600); 20 Blocos para a Biblioteca Central (13601 a 15600). 100 folhas para cada bloco.<br />
Porcentagem de 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Diretoria da FFLCH"
"12810","Fornecimento de Papel (CCINT)","2016","36","Comissão de Cooperação Internacional - FFLCH-USP","Acadêmica","Vivian Pamella Viviani de Castro","1000","1","A4","12/20/2016","112 Folhas de Papel Sulfite 120grs (66 x 96cm)","R$ 26.88","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Comissão de Cooperação Internacional - CCINT (FFLCH-USP)"
"12805","Impresso Estágio não Obrigatório de Graduação","2016","35","Serviço de Ensino de Graduação","Acadêmica","Srta. Ilza - SAEG","5000","1","8 x 12cm","12/06/2016","150 folhas de cartolina 180grs 66x96","R$ 55.50","04 Chapas Positivas de Alumínio para a Impressora Heideberg","R$45.40","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","SAEG- Serviço de Assistência ao Ensino de Graduação- Estágios"
"12802","Fornecimento de papel Vice Diretoria","2016","34","Vice Diretoria","Administrativa","Dayane Esteves Nogueira","1200","1","A4","12/05/2016","125 Folhas de Papel Sulfite 75grs 66x96","R$ 17.50","25 folhas de cartolina 180grs 66x96","R$9.25","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsavel : Dayane Esteves Nogueira</p>
","Vice Diretoria"
"12801","Convite ( Gabinete da Vice Reitoria)","2016","33","Gabinete da Vice Reitoria","Administrativa","Cláudia Pires","20000","1","A5","12/02/2016","1562 fls de cartão 240grs Fibra Loygt 66x96","R$ 892.08","6 Chapas positivas de Alumínio Heidelberg","R$68.10","fotolitos","R$100.00","impressão 3 cores","R$150.00","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsavel:Cláudia Pires</p>
","transposição de verba ( Gabinete da Vice Reitoria)"
"12800","Fornecimento de papel Vice Diretoria","2016","32","Vice Diretoria","Administrativa","Dayane Esteves Nogueira","1200","1","A4","12/02/2016","125 Folhas de Papel Sulfute 75grs 66x96","R$ 17.50","25 folhas de cartolina 180grs 66x96","R$9.25","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Vice Diretoria"
"12794","Convite-Cerimônia do Chá e Ikebana e fornecimento de papel para Cartazes","2016","31","Departamento de Letras Orientais","Acadêmica ","Maria Helena G. Rodrigues","1000","2","16x12","11/18/2016","100 folhas de cartão 240grs 66x96 Fibra Longit","R$ 40.00","5Chapas positivas de Alumínio","R$19.60","35 folhas de papel super bond verde 66x96","R$7.70","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","RI:Departamento de Letras Orientais"
"12792","Fornecimento de Papel A3 para cartazes","2016","30","Vice-Diretoria da FFLCH","Administrativa","Srta.Dayane Esteves Nogueira","140","1","A3","11/09/2016","05 Folhas de Papel Gráfico 120grs (66 x 96cm)","R$ 1.20","30 Folhas de Papel Gráfico 75grs (66 x 96cm)","R$4.20","Fotolito","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Srta.Dayane Esteves Nogueira"
"12786","Fornecimento de Papel Cartão para Cartazes","2016","29","Serviço de Editoração e Distribuição (Editora Humanitas)","Administrativa","Srta. Maria Helena Gonçalves Rodrigues","100","1","A3","10/25/2016","25 Folhas de Papel Color Plus / Rio de Janeiro 180grs (66 x 96cm)","R$ 35.25","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Serviço de Editoração e Distribuição (Editora Humanitas)"
"12779","Fornecimento de folha para cartão de visita (fibra loygt 250grs) ","2016","28","Diretoria","Administrativa","Dayane Esteves Nogueira","100","1","A4","09/30/2016","15 folhas 66x96 de cartão 250grs","R$ 6.00","Chapas positivas de Alumínio","","Fotolito","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão,blanqueta, restauradoras etc.</p>
","Diretoria"
"12778","Confecção de Timbre Auto-Relevo no Cartão Naturelle (Vice-Diretoria) ","2016","27","Vice-Diretoria","Administrativa","Dayane Esteves Nogueira","1000","1","A4","09/30/2016","156 folhas de papel Concetto/Naturelle (66 x 96cm)","R$ 265.20","03 Chapas para Impressão Off-Set (Catu)","R$11.76","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Diretoria"
"12772","Fornecimento de Papel (Centro de Línguas)","2016","26","Centro de Línguas - FFLCH","Administrativa","Eliane Vaz do Nascimento","4000","1","A4","09/22/2016","500 Folhas de Papel Sulfite 75grs (66x96cm)","R$ 70.00","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Centro de Línguas - FFLCH"
"12770","Fornecimento de Papel (CCINT)","2016","25","Comissão de Cooperação Internacional - FFLCH-USP","Acadêmica","Vivian Pamella Viviani de Castro","1000","1","A4","09/22/2016","125 Folhas de Papel Sulfite - 120grs (66 x 96cm)","R$ 30.00","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","","Comissão de Cooperação Internacional - FFLCH-USP"
"12767","Fornecimento de papel para o Centro de Linguas - FFLCH","2016","24","Centro de Línguas - FFLCH","Administração","Eliane Vaz do Nascimento","4000","1","A4","09/13/2016","500 Folhas de Papel Sulfite 75grs (66 x 96cm)","R$ 70.00","Chapas positivas de Alumínio","","Fotolito","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Centro de Línguas - FFLCH"
"12764","Pasta com Timbre (sem furos para grampo)","2016","23","Setor de Almoxarifado","Administrativa","José Aparecido Irineu","1200","1","A3","08/19/2016","300 Folhas de Papel Supremo de 300grs - 66 x 96cm","R$ 238.00","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Observação: Observação: Será pago valor de R$ 71,40 referente aos 30% dos custos de serviços. O material foi fornecido pelo almoxarifado.<br />
Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Setor de Almoxarifado"
"12762","Fornecimento de Papel: Departamento de Linguística - FFLCH","2016","22","Departamento de Linguística - FFLCH","Departamento de Linguística - FFLCH","Professora Dra. Maria Cristina Fernandes Salles Altman","500","1","A4","08/19/2016","63 Folhas de Papel Color Plus de cores diversas 180grs - 66 x 96cm","R$ 88.83","Chapas positivas de Alumínio","","Fotolito","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Departamento de Linguística - FFLCH"
"12760","Fornecimento de papel: SuperBond - 75grs - 66 x 96cm - Amarelo","2016","21","Serviço de Graduação - FFLCH/USP","Acadêmica","Hilton José Soares","10000","1","A4","08/12/2016","1250 Super Bond - 75grs - 66 x 96cm - Amarelo","R$ 225.00","Chapas positivas de Alumínio","","Fotolito","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Serviço de Graduação - FFLCH/USP"
"12757","Fornecimento de Papel: Projeto 1848 - USP Debate","2016","20","Departamento de Ciência Política da FFLCH","Acadêmica","Bianca Quirantes Checon","160","1","A3","08/10/2016","160 Folhas de Papel Sulfite Alta Alvura - 180grs (66 x 96cm)","R$ 64.00","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Departamento de Ciência Política da FFLCH"
"12754","Pasta com Timbre","2016","19","Setor de Almoxarifado","Administrativa","José Aparecido Irineu","1200","1","A3","08/09/2016","300 Folhas de Papel Supremo de 300grs - 66 x 96cm","R$ 238.00","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Observação: Será pago valor de R$ 71,40 referente aos 30% dos custos de serviços. O material foi fornecido pelo almoxarifado.<br />
(30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc).</p>
","Almoxarifado"
"12752","Fornecimento de Papel (Serviço de Pós-Graduação)","2016","18","Serviço de Pós-Graduação","Administrativa","Aline Nogueira Marques Nicolau","5000","1","A4","08/09/2016","625 Folhas de Sulfite de 120 grs (66 x 96cm)","R$ 150.00","Chapas positivas de Alumínio","","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Serviço de Pós-Graduação"
"12749","Fornecimento de Papel (Centro de Línguas)","2016","17","Centro de Línguas - FFLCH","Administrativa","Eliane Vaz do Nascimento","1000","1","A4","08/09/2016","125 Folhas de Papel Sulfite - 75grs (66 x 96cm)","R$ 17.50","Chapas positivas de Alumínio","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Centro de Línguas - FFLCH"
"12747","Fornecimento de Papel (Centro de Línguas)","2016","16","Centro de Línguas - FFLCH","Administrativa","Eliane Vaz do Nascimento","1000","1","A4","08/09/2016","125 Folhas de Papel Vergê Branco - 180 grs / 66 x 96cm","R$ 111.25","Chapas positivas de Alumínio","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Centro de Línguas - FFLCH"
"12744","III Colóquio ""Autores do Renascimento""","2016","15","Departamento de Letras Clássicas e Vernáculas - DLCV","Acadêmica","Prof. Ricardo da Cunha Lima","100","4","A5","08/04/2016","38 Papel Vergê - Opala 66 x 96cm - 120 grs","R$ 22.42","04 Chapas positivas de alumínio","R$15.68","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
<p>O pagamento será efetuado diretamente na tesouraria.</p>
","Departamento de Letras Clássicas e Vernáculas - DLCV (Pagamento direto na Tesouraria)"
"12743","Timbre de envelopes (24 x 34cm)","2016","14","Setor de Almoxarifado","Administrativa","José Aparecido Irineu","9000","1","24 x 34cm","08/03/2016","90 Pacotes de 100 envelopes cada / tipo saco (24x 34cm)","R$ 1086.30","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Observação: Será pago o valor de R$ 325,89 referente aos 30% dos custos de serviços em<br />
virtude do material ter sido fornecido pelo setor de Almoxarifado.<br />
Os 30% sobre o total de materiais representa os gastos com tinta, solventes, toner, cola, algodão,blanqueta, restauradoras etc.</p>
","Setor de Almoxarifado (Valor: R$ 325,89)"
"12740","VII Simpósio Brasileiro de Educacão em Solos (crachá)","2016","13","Departamento de Geografia","Acadêmica","Profa. Dra.Deborah de Oliveira","300","1","10X10","07/29/2016","30 Folhas de cartão supremo 300grs (66 x 96cm)","R$ 24.00","03 Chapas positivas de Alumínio","R$35.31","","","","","","","","","","","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","DEPARTAMENTO DE GEOGRAFIA"
"12739","VII Simpósio Brasileiro de Educacão em Solos","2016","12","Departamento de Geografia","Acadêmica","Profa. Dra.Deborah de Oliveira","300","20","A5","07/29/2016","422 Folhas de papel jornal 66x96","R$ 42.20","03 Chapas positivas de Alumínio","R$11.76","","","","","","","","","","","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","DEPARTAMENTO DE GEOGRAFIA"
"12727","Folha de Prova","2016","11","Almoxarifado","José Aparecido Irineu","Administrativa","20000","2","A3","05/03/2016","5000 Folhas de Papel Sulfite 75grs (66 x 96cm)","R$ 700.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>A Seção de Almoxarifado forneceu o papel, sendo assim, o valor a pagar corresponderá apenas aos 30% sobre os materiais utilizados: Valor a pagar: R$ 210,00.<br />
Os 30% sobre o total de materiais representa os gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Seção de Almoxarifado (Valor de R$ 210,00)"
"12718","Fornecimento de Papel (CCINT)","2016","10","Comissão de Cooperação Internacional - CCINT","Acadêmica","Vivian Pamella Viviani de Castro","1000","1","A4","04/04/2016","125 Folhas de Papel Sulfite 75grs (66 x 96cm)","R$ 17.50","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Comissão de Cooperação Internacional - CCINT"
"12714","Fornecimento de Papel A3 para cartazes","2016","9","Departamento de Letras Modernas - DLM","Acadêmica","Professora Laura Hosiasson","150","1","A3","03/29/2016","38 Folhas de Papel Color Plus - 66 x 96cm - 120grs - Madrid Laranja Claro","R$ 33.82","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
<p>Sra. Dorli se encarregará da impressão dos cartazes.</p>
","Departamento de Letras Modernas - DLM"
"12707","Convite: Roger Casement and the 1916 Centenary","2016","8","Cátedra de Estudos Irlandeses W. B. Yeats","Acadêmica","Profa. Laura Izarra","300","2","A4","03/14/2016","47 Folhas do Cartão Color Plus - Amazonas / Verde - 180grs (66 x 96cm)","R$ 43.71","2 Chapas Positivas de Alumínio","R$7.84","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Cátedra de Estudos Irlandeses W. B. Yeats"
"12702","Ficha de estágio não obrigatório de graduação","2016","7","Setor de Estágio","Acadêmica","Ilza","3000","1","12 x 8cm","03/02/2016","200 folhas de cartolina  - 180grs - 66 x 96cm","R$ 80.60","3 chapas positivas de alumínio","R$35.31","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Assistência Acadêmica "
"12690","Blocos GERAR (Grupo de Estudos de Retórica e Argumentação)","2016","6","DLCV - Depto. de Letras Clássicas e Vernáculas","Acadêmica","Profa. Dra. Lineide do Lago Salvador","33600","1","A5","02/11/2016","2100 folhas de papel sulfite 75grs (66 x 96cm)","R$ 294.00","03 chapas positivas de alumínio (CATU)","R$11.76","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>672 blocos com 50 folhas cada.<br />
30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","DLCV - Depto. de Letras Clássicas e Vernáculas"
"12688","Fornecimento de Papel Timbrado e com Alto-Relevo (Papel Especial)","2016","5","Diretoria (FFLCH)","Administrativa","Dayane Esteves Nogueira","1000","1","A4","02/04/2016","125 Folhas de papel acácia textura linho 90grs (66 x 96cm","R$ 125.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Com timbre e alto-relevo da Diretoria da FFLCH.<br />
Obs: 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Diretoria"
"12684","Fornecimento de Papel (Diretoria da FFLCH - Papel Especial)","2016","4","Diretoria (FFLCH)","Administrativa","Dayane Esteves Nogueira","1000","1","A4","02/03/2016","125 folhas de papel acácia text linho 90grs (66 x 96cm)","R$ 125.00","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
",""
"12682","Fornecimento de Papel (Diretoria da FFLCH)","2016","3","Diretoria (FFLCH)","Administrativa","Dayane Esteves Nogueira","5000","1","A4","02/03/2016","625 folhas de papel Sulfite de 75grs (66x96)","R$ 87.50","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Diretoria da FFLCH"
"12679","XVIII Semana de Recepção aos Calouros","2016","2","Serviço de Alunos de Graduação2016","Acadêmica","Hilton José Soares","2000","8","A5","02/03/2016","625 fls de papel color plus 120grs 66x96 (marfim)","R$ 391.21","5 chapas de alumínio (Catu)","R$19.60","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>Responsável:  Hilton José Soares<br />
fonte pagadora : DIRETORIA</p>
",""
"12676","Fornecimento de Papel (CCINT)","2016","1","Comissão de Cooperação Internacional - CCINT (FFLCH/USP)","Acadêmica","Vivian Pamella Viviani de Castro","1000","1","A4","01/27/2016","125 Folhas de Papel Sulfite 120grs 66x96","R$ 31.25","Chapas positivas de Alumínio","","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Comissão de Cooperação Internacional - CCINT (FFLCH/USP)"
"12668","Folha de Prova","2015","23","almoxarifado","Administrativa","José Aparecido Irineu","400","2","32,5 x 45,5","12/03/2015","120 Folhas de Papel reciclado 75grs 66x96","R$ 32.00","4 Chapas positivas de Alumínio","R$15.68","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","","Plastificação brilhante","<p>FONTE PAGADORA :ALMOXARIFADO</p>
","Amoxarifado"
